Action_end_bvh_frame,Action_end_rgb_frame,Action_end_rgb_sec,Action_label,Action_start_bvh_frame,Action_start_rgb_frame,Action_start_rgb_sec,Duration_sec,File,Meta_action_class_number,Meta_action_label,Operation,Recurrence,Subject
11360,2860,95.44,[OP020] Put down measuring rod,11084,2791,93.12,2.32,P01_R01,9,Put down measuring rod,OP020,R01,P01
13098,3298,110.04,[OP030] Consult sheets,12751,3210,107.12,2.92,P01_R01,2,Consult sheets,OP030,R01,P01
13427,3381,112.8,[OP030] Catch Fixture key LARD (x2),13227,3330,111.12,1.68,P01_R01,7,Picking left,OP030,R01,P01
14146,3562,118.84,[OP030] Place LARD on P360-1 (x2),13912,3503,116.88,1.96,P01_R01,12,Assemble system,OP030,R01,P01
15312,3855,128.64,[OP030] Catch Fixation FIXT (x2),14817,3731,124.48,4.16,P01_R01,6,Picking in front,OP030,R01,P01
16022,4034,134.60001,[OP030] Place FIXT on LARD (x2),15474,3896,130.0,4.6,P01_R01,12,Assemble system,OP030,R01,P01
16498,4154,138.60001,[OP030] Catch Pillow block bearing PAL4019 (x2),16241,4089,136.44,2.16,P01_R01,6,Picking in front,OP030,R01,P01
16783,4226,141.0,[OP030] Place PAL4019 on FIXT (x2),16517,4159,138.75999,2.24,P01_R01,12,Assemble system,OP030,R01,P01
17322,4361,145.52,[OP030] Catch Bolt B840 (x2),17126,4312,143.88,1.64,P01_R01,7,Picking left,OP030,R01,P01
17712,4460,148.8,[OP030] Take screwdriver,17636,4440,148.16,0.64,P01_R01,4,Take screwdriver,OP030,R01,P01
18231,4590,153.16,[OP030] Screw PAL4019 with B820 (x2),17721,4462,148.88,4.28,P01_R01,12,Assemble system,OP030,R01,P01
18521,4663,155.60001,[OP030] Put down screwdriver,18240,4593,153.24001,2.36,P01_R01,5,Put down screwdriver,OP030,R01,P01
18945,4770,159.16,[OP030] Catch Cover CAPO (x2),18674,4702,156.88,2.28,P01_R01,6,Picking in front,OP030,R01,P01
19564,4926,164.36,[OP030] Consult sheets,19045,4795,160.0,4.36,P01_R01,2,Consult sheets,OP030,R01,P01
20012,5039,168.12,[OP030] Place CAPO on P360-1(x2),19735,4969,165.8,2.32,P01_R01,12,Assemble system,OP030,R01,P01
20554,5175,172.67999,[OP030] Catch Fixture key LARD (x2),20364,5127,171.08,1.6,P01_R01,7,Picking left,OP030,R01,P01
20883,5258,175.44,[OP030] Place LARD on P360-1 (x2),20645,5198,173.44,2.0,P01_R01,12,Assemble system,OP030,R01,P01
21207,5339,178.16,[OP030] Catch Fixation FIXT (x2),20992,5286,176.36,1.8,P01_R01,6,Picking in front,OP030,R01,P01
21826,5495,183.36,[OP030] Place FIXT on LARD (x2),21311,5366,179.03999,4.32,P01_R01,12,Assemble system,OP030,R01,P01
22178,5584,186.32001,[OP030] Catch Pillow block bearing PAL4019 (x2),22007,5541,184.88,1.44,P01_R01,6,Picking in front,OP030,R01,P01
22330,5622,187.60001,[OP030] Place PAL4019 on FIXT (x2),22216,5594,186.64,0.96,P01_R01,12,Assemble system,OP030,R01,P01
22611,5693,189.96001,[OP030] Catch Bolt B840 (x2),22402,5640,188.2,1.76,P01_R01,7,Picking left,OP030,R01,P01
22983,5787,193.08,[OP030] Take screwdriver,22778,5735,191.36,1.72,P01_R01,4,Take screwdriver,OP030,R01,P01
23359,5881,196.24001,[OP030] Screw PAL4019 with B820 (x2),23073,5809,193.84,2.4,P01_R01,12,Assemble system,OP030,R01,P01
23640,5952,198.60001,[OP030] Put down screwdriver,23397,5891,196.56,2.04,P01_R01,5,Put down screwdriver,OP030,R01,P01
23906,6019,200.84,[OP030] Catch Cover CAPO (x2),23706,5969,199.16,1.68,P01_R01,6,Picking in front,OP030,R01,P01
24378,6138,204.8,[OP030] Place CAPO on P360-1(x2),23983,6038,201.48,3.32,P01_R01,12,Assemble system,OP030,R01,P01
26711,6725,224.39999,[OP030] Put down Profile P360-1,25892,6519,217.52,6.88,P01_R01,14,Put down subsystem,OP030,R01,P01
29210,7355,245.39999,[OP040] Turn sheets,28834,7260,242.24001,3.16,P01_R01,3,Turn sheets,OP040,R01,P01
29363,7393,246.67999,[OP040] Consult sheets,29225,7358,245.52,1.16,P01_R01,2,Consult sheets,OP040,R01,P01
29906,7530,251.24001,[OP040] Catch Fixation FIXA2,29506,7429,247.88,3.36,P01_R01,6,Picking in front,OP040,R01,P01
30853,7768,259.20001,[OP040] Catch Bolt B820,30605,7706,257.12,2.08,P01_R01,7,Picking left,OP040,R01,P01
31667,7973,266.04001,[OP040] Place FIXL on P360-2,30924,7786,259.79999,6.24,P01_R01,12,Assemble system,OP040,R01,P01
31872,8025,267.76001,[OP040] Take screwdriver,31715,7985,266.44,1.32,P01_R01,4,Take screwdriver,OP040,R01,P01
32258,8122,271.0,[OP040] Screw FIXA2 with B820,31929,8039,268.23999,2.76,P01_R01,12,Assemble system,OP040,R01,P01
32443,8169,272.56,[OP040] Put down screwdriver,32262,8123,271.04001,1.52,P01_R01,5,Put down screwdriver,OP040,R01,P01
32986,8305,277.12,[OP040] Consult sheets,32753,8247,275.16,1.96,P01_R01,2,Consult sheets,OP040,R01,P01
34138,8595,286.79999,[OP040] Catch Fixation FIXL,33848,8522,284.35999,2.44,P01_R01,6,Picking in front,OP040,R01,P01
35314,8891,296.67999,[OP040] Catch Strap clamps BRIT (x2),35105,8839,294.92001,1.76,P01_R01,7,Picking left,OP040,R01,P01
35648,8975,299.48001,[OP040] Place BRIT1 and BRIT2 on FIXL,35324,8894,296.76001,2.72,P01_R01,12,Assemble system,OP040,R01,P01
35890,9037,301.51999,[OP040] Catch Strap clamps BRIT (x2),35676,8983,299.72,1.8,P01_R01,7,Picking left,OP040,R01,P01
36200,9114,304.12,[OP040] Place BRIT1 and BRIT2 on FIXL,35957,9053,302.07999,2.04,P01_R01,12,Assemble system,OP040,R01,P01
36871,9284,309.76001,[OP040] Catch Bolt B820PT,36705,9242,308.35999,1.4,P01_R01,7,Picking left,OP040,R01,P01
37824,9523,317.76001,[OP040] Take screwdriver,37681,9487,316.56,1.2,P01_R01,4,Take screwdriver,OP040,R01,P01
38185,9614,320.79999,[OP040] Screw FIXL with B820PT,37876,9536,318.20001,2.6,P01_R01,12,Assemble system,OP040,R01,P01
38443,9679,322.95999,[OP040] Put down screwdriver,38200,9618,320.92001,2.04,P01_R01,5,Put down screwdriver,OP040,R01,P01
39728,10003,333.76001,[OP050] Turn sheets,39285,9891,330.04001,3.72,P01_R01,3,Turn sheets,OP050,R01,P01
39928,10053,335.44,[OP050] Catch Profile P040,39738,10005,333.84,1.6,P01_R01,6,Picking in front,OP050,R01,P01
40461,10187,339.92001,[OP050] Catch Strap clamps BRIT (x2),40161,10112,337.39999,2.52,P01_R01,7,Picking left,OP050,R01,P01
41756,10513,350.79999,[OP050] Place BRIT1 and BRIT2 on P040,41542,10460,349.0,1.8,P01_R01,12,Assemble system,OP050,R01,P01
42042,10585,353.20001,[OP050] Catch Strap clamps BRIT (x2),41809,10527,351.23999,1.96,P01_R01,7,Picking left,OP050,R01,P01
42309,10653,355.44,[OP050] Place BRIT1 and BRIT2 on P040,42128,10607,353.92001,1.52,P01_R01,12,Assemble system,OP050,R01,P01
42680,10746,358.56,[OP050] Place P040 on P360-2,42356,10665,355.84,2.72,P01_R01,12,Assemble system,OP050,R01,P01
43261,10892,363.44,[OP050] Catch Bolt B820PT,43018,10831,361.39999,2.04,P01_R01,7,Picking left,OP050,R01,P01
44180,11124,371.16,[OP050] Take screwdriver,44056,11092,370.12,1.04,P01_R01,4,Take screwdriver,OP050,R01,P01
44589,11227,374.60001,[OP050] Screw P040 with B820PT,44304,11155,372.20001,2.4,P01_R01,12,Assemble system,OP050,R01,P01
44813,11283,376.48001,[OP050] Put down screwdriver,44613,11233,374.79999,1.68,P01_R01,5,Put down screwdriver,OP050,R01,P01
45670,11499,383.67999,[OP060] Consult sheets,45456,11445,381.88,1.8,P01_R01,2,Consult sheets,OP060,R01,P01
46032,11590,386.72,[OP060] Catch Fixture key LARD,45737,11516,384.23999,2.48,P01_R01,7,Picking left,OP060,R01,P01
46689,11755,392.23999,[OP060] Place LARD on P040 (P360-2),46327,11664,389.20001,3.04,P01_R01,12,Assemble system,OP060,R01,P01
47018,11838,395.0,[OP060] Catch Fixation FIXA1,46837,11793,393.48001,1.52,P01_R01,6,Picking in front,OP060,R01,P01
47584,11981,399.76001,[OP060] Catch Bolt B820 (x2),47341,11920,397.72,2.04,P01_R01,7,Picking left,OP060,R01,P01
48675,12255,408.92001,[OP060] Place FIXA1 on P360-2,47875,12054,402.20001,6.72,P01_R01,12,Assemble system,OP060,R01,P01
48851,12300,410.39999,[OP060] Take screwdriver,48694,12260,409.07999,1.32,P01_R01,4,Take screwdriver,OP060,R01,P01
49198,12387,413.32001,[OP060] Screw FIXA1 with B820,48946,12324,411.20001,2.12,P01_R01,12,Assemble system,OP060,R01,P01
49641,12499,417.04001,[OP060] Put down screwdriver,49208,12390,413.39999,3.64,P01_R01,5,Put down screwdriver,OP060,R01,P01
49831,12547,418.64001,[OP060] Consult sheets,49684,12509,417.39999,1.24,P01_R01,2,Consult sheets,OP060,R01,P01
50370,12682,423.16,[OP060] Turn sheets,50146,12626,421.28,1.88,P01_R01,3,Turn sheets,OP060,R01,P01
50755,12779,426.39999,[OP060] Consult sheets,50474,12708,424.04001,2.36,P01_R01,2,Consult sheets,OP060,R01,P01
51060,12856,428.95999,[OP060] Catch Fixation FIXA2,50784,12786,426.64001,2.32,P01_R01,6,Picking in front,OP060,R01,P01
51284,12912,430.84,[OP060] Place FIXA2 on P360-2,51117,12870,429.44,1.4,P01_R01,12,Assemble system,OP060,R01,P01
51541,12977,433.0,[OP060] Catch Bolt B820 (x2),51360,12931,431.48001,1.52,P01_R01,7,Picking left,OP060,R01,P01
51998,13092,436.84,[OP060] Take screwdriver,51769,13035,434.92001,1.92,P01_R01,4,Take screwdriver,OP060,R01,P01
52360,13183,439.88,[OP060] Screw FIXA2 with B820,52065,13109,437.39999,2.48,P01_R01,12,Assemble system,OP060,R01,P01
52626,13250,442.12,[OP060] Put down screwdriver,52369,13186,439.95999,2.16,P01_R01,5,Put down screwdriver,OP060,R01,P01
52793,13292,443.51999,[OP070] Consult sheets,52641,13254,442.23999,1.28,P01_R01,2,Consult sheets,OP070,R01,P01
54983,13844,461.92001,[OP070] Catch Bolt B835,54769,13790,460.12,1.8,P01_R01,7,Picking left,OP070,R01,P01
55588,13996,467.0,[OP070] Place ECR8 on DI2T,55345,13935,464.95999,2.04,P01_R01,6,Picking in front,OP070,R01,P01
56088,14122,471.20001,[OP070] Consult sheets,55778,14044,468.60001,2.6,P01_R01,2,Consult sheets,OP070,R01,P01
56321,14181,473.16,[OP070] Place DI2T on P360-2,56131,14133,471.56,1.6,P01_R01,12,Assemble system,OP070,R01,P01
57192,14400,480.48001,[OP070] Catch Nut ECR8,56916,14330,478.16,2.32,P01_R01,7,Picking left,OP070,R01,P01
57469,14470,482.79999,[OP070] Catch component,57231,14410,480.79999,2.0,P01_R01,13,Take subsystem,OP070,R01,P01
59264,14921,497.88,[OP070] Place ECR8 on DI2T,58668,14772,492.88,5.0,P01_R01,12,Assemble system,OP070,R01,P01
60249,15170,506.16,[OP070] Take screwdriver,60068,15124,504.64001,1.52,P01_R01,4,Take screwdriver,OP070,R01,P01
60682,15279,509.79999,[OP070] Screw P360-2 with B835,60278,15177,506.39999,3.4,P01_R01,12,Assemble system,OP070,R01,P01
60954,15347,512.08002,[OP070] Put down screwdriver,60692,15281,509.88,2.2,P01_R01,5,Put down screwdriver,OP070,R01,P01
62287,15683,523.28003,[OP070] Put down Lower Part,61301,15435,515.0,8.28,P01_R01,14,Put down subsystem,OP070,R01,P01
390,98,3.28,[OP010] Consult sheets,281,71,2.36,0.92,P01_R02,2,Consult sheets,OP010,R02,P01
633,159,5.32,[OP010] Catch Fixture key LARD,424,107,3.56,1.76,P01_R02,7,Picking left,OP010,R02,P01
1129,284,9.48,[OP010] Place LARD on Profile P360-1,814,205,6.84,2.64,P01_R02,12,Assemble system,OP010,R02,P01
1638,412,13.76,[OP010] Catch Fixation FIXA1,1410,355,11.84,1.92,P01_R02,6,Picking in front,OP010,R02,P01
2076,523,17.44,[OP010] Catch Bolt B820,1848,465,15.52,1.92,P01_R02,7,Picking left,OP010,R02,P01
2757,694,23.16,[OP010] Place FIXA1 on LARD at 160mm,2167,545,18.2,4.96,P01_R02,12,Assemble system,OP010,R02,P01
3138,790,26.36,[OP010] Take measuring rod,2767,697,23.24,3.12,P01_R02,8,Take measuring rod,OP010,R02,P01
3343,842,28.08,[OP010] Take screwdriver,3176,800,26.68,1.4,P01_R02,4,Take screwdriver,OP010,R02,P01
3695,930,31.04,[OP010] Screw FIXA1 with B820,3438,866,28.88,2.16,P01_R02,12,Assemble system,OP010,R02,P01
3895,981,32.72,[OP010] Put down screwdriver,3709,934,31.16,1.56,P01_R02,5,Put down screwdriver,OP010,R02,P01
4214,1061,35.4,[OP010] Put down measuring rod,3909,984,32.84,2.56,P01_R02,9,Put down measuring rod,OP010,R02,P01
5352,1347,44.96,[OP020] Turn sheets,5167,1301,43.4,1.56,P01_R02,3,Turn sheets,OP020,R02,P01
5462,1375,45.88,[OP020] Consult sheets,5362,1350,45.04,0.84,P01_R02,2,Consult sheets,OP020,R02,P01
5843,1471,49.08,[OP020] Catch Fixture key LARD,5509,1387,46.28,2.8,P01_R02,7,Picking left,OP020,R02,P01
6276,1580,52.72,[OP020] Place LARD on P360-1,5909,1488,49.64,3.08,P01_R02,12,Assemble system,OP020,R02,P01
6724,1693,56.48,[OP020] Catch Fixation FIXA1,6371,1604,53.52,2.96,P01_R02,6,Picking in front,OP020,R02,P01
6919,1742,58.12,[OP020] Catch Bolt B820,6752,1700,56.72,1.4,P01_R02,7,Picking left,OP020,R02,P01
7529,1895,63.24,[OP020] Place FIXA1 on LARD at 160mm,6948,1749,58.36,4.88,P01_R02,12,Assemble system,OP020,R02,P01
7729,1946,64.92,[OP020] Take screwdriver,7557,1902,63.48,1.44,P01_R02,4,Take screwdriver,OP020,R02,P01
8095,2038,68.0,[OP020] Screw FIXA1 with B820,7748,1950,65.08,2.92,P01_R02,12,Assemble system,OP020,R02,P01
8348,2101,70.12,[OP020] Put down screwdriver,8105,2040,68.08,2.04,P01_R02,5,Put down screwdriver,OP020,R02,P01
8819,2220,74.08,[OP020] Turn sheets,8586,2161,72.12,1.96,P01_R02,3,Turn sheets,OP020,R02,P01
9114,2295,76.56,[OP030] Consult sheets,8867,2232,74.48,2.08,P01_R02,2,Consult sheets,OP030,R02,P01
10362,2609,87.04,[OP030] Catch Fixture key LARD (x2),10086,2539,84.72,2.32,P01_R02,7,Picking left,OP030,R02,P01
11028,2776,92.64,[OP030] Place LARD on P360-1 (x2),10386,2615,87.24,5.4,P01_R02,12,Assemble system,OP030,R02,P01
11319,2850,95.08,[OP030] Catch Fixation FIXT (x2),11067,2786,92.96,2.12,P01_R02,6,Picking in front,OP030,R02,P01
11757,2960,98.76,[OP030] Place FIXT on LARD (x2),11338,2854,95.24,3.52,P01_R02,12,Assemble system,OP030,R02,P01
12219,3076,102.64,[OP030] Catch Pillow block bearing PAL4019 (x2),11928,3003,100.2,2.44,P01_R02,6,Picking in front,OP030,R02,P01
12548,3159,105.4,[OP030] Place PAL4019 on FIXT (x2),12309,3099,103.4,2.0,P01_R02,12,Assemble system,OP030,R02,P01
13067,3290,109.76,[OP030] Catch Bolt B840 (x2),12571,3165,105.6,4.16,P01_R02,7,Picking left,OP030,R02,P01
14238,3584,119.6,[OP030] Take screwdriver,14000,3524,117.6,2.0,P01_R02,4,Take screwdriver,OP030,R02,P01
15081,3797,126.68,[OP030] Screw PAL4019 with B820 (x2),14286,3596,120.0,6.68,P01_R02,12,Assemble system,OP030,R02,P01
15324,3858,128.72,[OP030] Put down screwdriver,15090,3799,126.76,1.96,P01_R02,5,Put down screwdriver,OP030,R02,P01
15948,4015,133.96001,[OP030] Catch Cover CAPO (x2),15581,3922,130.88,3.08,P01_R02,6,Picking in front,OP030,R02,P01
16524,4160,138.8,[OP030] Place CAPO on P360-1(x2),15952,4016,134.0,4.8,P01_R02,12,Assemble system,OP030,R02,P01
17314,4359,145.44,[OP030] Catch Fixture key LARD (x2),16976,4274,142.60001,2.84,P01_R02,7,Picking left,OP030,R02,P01
17838,4491,149.84,[OP030] Place LARD on P360-1 (x2),17533,4414,147.28,2.56,P01_R02,12,Assemble system,OP030,R02,P01
18095,4555,152.0,[OP030] Catch Fixation FIXT (x2),17857,4496,150.0,2.0,P01_R02,6,Picking in front,OP030,R02,P01
18428,4639,154.8,[OP030] Place FIXT on LARD (x2),18105,4558,152.08,2.72,P01_R02,12,Assemble system,OP030,R02,P01
18695,4706,157.03999,[OP030] Catch Pillow block bearing PAL4019 (x2),18486,4654,155.28,1.76,P01_R02,6,Picking in front,OP030,R02,P01
18857,4747,158.39999,[OP030] Place PAL4019 on FIXT (x2),18705,4709,157.12,1.28,P01_R02,12,Assemble system,OP030,R02,P01
19133,4817,160.72,[OP030] Catch Bolt B840 (x2),18871,4751,158.52,2.2,P01_R02,7,Picking left,OP030,R02,P01
19581,4929,164.48,[OP030] Take screwdriver,19305,4860,162.16,2.32,P01_R02,4,Take screwdriver,OP030,R02,P01
20400,5136,171.36,[OP030] Screw PAL4019 with B820 (x2),19643,4945,165.0,6.36,P01_R02,12,Assemble system,OP030,R02,P01
20624,5192,173.24001,[OP030] Put down screwdriver,20414,5139,171.48,1.76,P01_R02,5,Put down screwdriver,OP030,R02,P01
21224,5343,178.28,[OP030] Catch Cover CAPO (x2),20957,5276,176.03999,2.24,P01_R02,6,Picking in front,OP030,R02,P01
21657,5452,181.92,[OP030] Place CAPO on P360-1(x2),21305,5363,178.96001,2.96,P01_R02,12,Assemble system,OP030,R02,P01
22452,5652,188.60001,[OP030] Put down Profile P360-1,21938,5523,184.28,4.32,P01_R02,14,Put down subsystem,OP030,R02,P01
23557,5930,197.88,[OP040] Turn sheets,23157,5830,194.52,3.36,P01_R02,3,Turn sheets,OP040,R02,P01
23728,5974,199.32001,[OP040] Consult sheets,23571,5934,198.0,1.32,P01_R02,2,Consult sheets,OP040,R02,P01
24052,6055,202.03999,[OP040] Catch Fixation FIXA2,23743,5977,199.44,2.6,P01_R02,6,Picking in front,OP040,R02,P01
24324,6123,204.32001,[OP040] Catch Bolt B820,24086,6064,202.32001,2.0,P01_R02,7,Picking left,OP040,R02,P01
25433,6403,213.64,[OP040] Place FIXL on P360-2,24424,6149,205.16,8.48,P01_R02,12,Assemble system,OP040,R02,P01
25643,6456,215.39999,[OP040] Take screwdriver,25476,6414,214.0,1.4,P01_R02,4,Take screwdriver,OP040,R02,P01
25909,6523,217.64,[OP040] Screw FIXA2 with B820,25657,6459,215.52,2.12,P01_R02,12,Assemble system,OP040,R02,P01
26114,6574,219.36,[OP040] Put down screwdriver,25919,6525,217.72,1.64,P01_R02,5,Put down screwdriver,OP040,R02,P01
27700,6973,232.67999,[OP040] Catch Fixation FIXL,26886,6768,225.84,6.84,P01_R02,6,Picking in front,OP040,R02,P01
27962,7039,234.88,[OP040] Catch Strap clamps BRIT (x2),27709,6976,232.75999,2.12,P01_R02,7,Picking left,OP040,R02,P01
28681,7220,240.92,[OP040] Place BRIT1 and BRIT2 on FIXL,27966,7041,234.92,6.0,P01_R02,12,Assemble system,OP040,R02,P01
29043,7311,243.96001,[OP040] Catch Bolt B820PT,28705,7226,241.12,2.84,P01_R02,7,Picking left,OP040,R02,P01
29666,7469,249.2,[OP040] Take screwdriver,29509,7429,247.88,1.32,P01_R02,4,Take screwdriver,OP040,R02,P01
29952,7540,251.60001,[OP040] Screw FIXL with B820PT,29714,7481,249.60001,2.0,P01_R02,12,Assemble system,OP040,R02,P01
30176,7597,253.48,[OP040] Put down screwdriver,29957,7542,251.64,1.84,P01_R02,5,Put down screwdriver,OP040,R02,P01
31405,7906,263.79999,[OP050] Turn sheets,30924,7785,259.76001,4.04,P01_R02,3,Turn sheets,OP050,R02,P01
31571,7948,265.20001,[OP050] Consult sheets,31414,7908,263.88,1.32,P01_R02,2,Consult sheets,OP050,R02,P01
31881,8026,267.79999,[OP050] Catch Profile P040,31657,7970,265.92001,1.88,P01_R02,6,Picking in front,OP050,R02,P01
32466,8173,272.72,[OP050] Catch Strap clamps BRIT (x2),31895,8030,267.92001,4.8,P01_R02,7,Picking left,OP050,R02,P01
35400,8912,297.35999,[OP050] Place BRIT1 and BRIT2 on P040,34728,8743,291.72,5.64,P01_R02,12,Assemble system,OP050,R02,P01
36495,9188,306.56,[OP050] Place BRIT1 and BRIT2 on P040,36209,9116,304.16,2.4,P01_R02,12,Assemble system,OP050,R02,P01
37238,9375,312.79999,[OP050] Place P040 on P360-2,36557,9203,307.07999,5.72,P01_R02,12,Assemble system,OP050,R02,P01
37543,9451,315.35999,[OP050] Catch Bolt B820PT,37271,9383,313.07999,2.28,P01_R02,7,Picking left,OP050,R02,P01
38138,9601,320.35999,[OP050] Take screwdriver,37962,9557,318.88,1.48,P01_R02,4,Take screwdriver,OP050,R02,P01
38443,9678,322.92001,[OP050] Screw P040 with B820PT,38147,9604,320.44,2.48,P01_R02,12,Assemble system,OP050,R02,P01
38747,9755,325.48001,[OP050] Put down screwdriver,38452,9680,323.0,2.48,P01_R02,5,Put down screwdriver,OP050,R02,P01
39657,9984,333.12,[OP060] Consult sheets,39176,9863,329.07999,4.04,P01_R02,2,Consult sheets,OP060,R02,P01
39962,10060,335.67999,[OP060] Catch Fixation FIXA1,39714,9998,333.60001,2.08,P01_R02,6,Picking in front,OP060,R02,P01
40319,10150,338.67999,[OP060] Catch Fixture key LARD,39971,10063,335.76001,2.92,P01_R02,7,Picking left,OP060,R02,P01
40638,10231,341.35999,[OP060] Catch Bolt B820 (x2),40338,10155,338.84,2.52,P01_R02,7,Picking left,OP060,R02,P01
41014,10325,344.51999,[OP060] Place LARD on P040 (P360-2),40809,10274,342.79999,1.72,P01_R02,12,Assemble system,OP060,R02,P01
42124,10605,353.84,[OP060] Place FIXA1 on P360-2,41062,10337,344.92001,8.92,P01_R02,12,Assemble system,OP060,R02,P01
42328,10656,355.56,[OP060] Take screwdriver,42138,10608,353.95999,1.6,P01_R02,4,Take screwdriver,OP060,R02,P01
43033,10834,361.48001,[OP060] Screw FIXA1 with B820,42338,10659,355.64001,5.84,P01_R02,12,Assemble system,OP060,R02,P01
43257,10890,363.35999,[OP060] Put down screwdriver,43043,10836,361.56,1.8,P01_R02,5,Put down screwdriver,OP060,R02,P01
44171,11120,371.04001,[OP060] Turn sheets,43809,11029,368.0,3.04,P01_R02,3,Turn sheets,OP060,R02,P01
44338,11162,372.44,[OP060] Consult sheets,44181,11122,371.12,1.32,P01_R02,2,Consult sheets,OP060,R02,P01
44633,11236,374.92,[OP060] Catch Bolt B820 (x2),44376,11172,372.76,2.16,P01_R02,7,Picking left,OP060,R02,P01
45009,11331,378.08,[OP060] Catch Fixation FIXA1,44638,11238,374.96,3.12,P01_R02,6,Picking in front,OP060,R02,P01
45404,11431,381.4,[OP060] Place FIXA1 on P360-2,45014,11332,378.12,3.28,P01_R02,12,Assemble system,OP060,R02,P01
45638,11489,383.36,[OP060] Take screwdriver,45419,11434,381.52,1.84,P01_R02,4,Take screwdriver,OP060,R02,P01
45885,11552,385.44,[OP060] Screw FIXA2 with B820,45647,11492,383.44,2.0,P01_R02,12,Assemble system,OP060,R02,P01
46147,11618,387.64,[OP060] Put down screwdriver,45890,11553,385.48,2.16,P01_R02,5,Put down screwdriver,OP060,R02,P01
46881,11802,393.8,[OP070] Consult sheets,46604,11733,391.48,2.32,P01_R02,2,Consult sheets,OP070,R02,P01
47262,11898,397.0,[OP070] Catch Disk DI2T,46985,11829,394.68,2.32,P01_R02,6,Picking in front,OP070,R02,P01
47862,12049,402.04,[OP070] Catch Bolt B835,47471,11951,398.76,3.28,P01_R02,7,Picking left,OP070,R02,P01
48219,12139,405.04,[OP070] Catch Nut ECR8,47990,12082,403.12,1.92,P01_R02,7,Picking left,OP070,R02,P01
48976,12330,411.4,[OP070] Place DI2T on P360-2,48281,12155,405.56,5.84,P01_R02,12,Assemble system,OP070,R02,P01
49571,12480,416.4,[OP070] Catch P360-1,49081,12356,412.28,4.12,P01_R02,13,Take subsystem,OP070,R02,P01
50423,12694,423.56,[OP070] Place ECR8 on DI2T,50085,12609,420.72,2.84,P01_R02,12,Assemble system,OP070,R02,P01
50942,12825,427.92,[OP070] Take screwdriver,50762,12779,426.4,1.52,P01_R02,4,Take screwdriver,OP070,R02,P01
51133,12873,429.52,[OP070] Screw P360-2 with B835,50966,12831,428.12,1.4,P01_R02,12,Assemble system,OP070,R02,P01
